title,tconst,great,best,good,many,first,much,little,new,real,last,true,different,bad,human,old
Psycho,tt0054215,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
City Lights,tt0021749,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Raiders of the Lost Ark,tt0082971,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
The Intouchables,tt1675434,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Modern Times,tt0027977,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
The Green Mile,tt0120689,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Rear Window,tt0047396,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Terminator 2: Judgment Day,tt0103064,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
The Departed,tt0407887,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
The Pianist,tt0253474,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Back to the Future,tt0088763,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
Whiplash,tt2582802,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gladiator,tt0172495,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Memento,tt0209144,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Apocalypse Now,tt0078788,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
The Prestige,tt0482571,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
The Lion King,tt0110357,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,tt0057012,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Sunset Blvd.,tt0043014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alien,tt0078748,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
The Great Dictator,tt0032553,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
The Lives of Others,tt0405094,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cinema Paradiso,tt0095765,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Paths of Glory,tt0050825,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Django Unchained,tt1853728,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
The Shining,tt0081505,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Grave of the Fireflies,tt0095327,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WALL·E,tt0910970,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
The Dark Knight Rises,tt1345836,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
American Beauty,tt0169547,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aliens,tt0090605,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Princess Mononoke,tt0119698,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Oldboy,tt0364569,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Citizen Kane,tt0033467,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Once Upon a Time in America,tt0087843,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
North by Northwest,tt0053125,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Das Boot,tt0082096,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Vertigo,tt0052357,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Witness for the Prosecution,tt0051201,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
Star Wars: Episode VI - Return of the Jedi,tt0086190,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
M,tt0022100,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Reservoir Dogs,tt0105236,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
Braveheart,tt0112573,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Amélie,tt0211915,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Requiem for a Dream,tt0180093,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A Clockwork Orange,tt0066921,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Taxi Driver,tt0075314,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Double Indemnity,tt0036775,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Toy Story 3,tt0435761,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lawrence of Arabia,tt0056172,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1
To Kill a Mockingbird,tt0056592,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Eternal Sunshine of the Spotless Mind,tt0338013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Full Metal Jacket,tt0093058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Amadeus,tt0086879,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
The Sting,tt0070735,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
2001: A Space Odyssey,tt0062622,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Bicycle Thieves,tt0040522,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Singin' in the Rain,tt0045152,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Toy Story,tt0114709,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Snatch,tt0208092,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Monty Python and the Holy Grail,tt0071853,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Inglourious Basterds,tt0361748,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
The Kid,tt0012349,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
L.A. Confidential,tt0119488,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
For a Few Dollars More,tt0059578,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rashomon,tt0042876,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
The Apartment,tt0053604,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
